"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"disease","MS15006012",1160560.48569645,356809.185451181,96503690.5275591,2151820.50814192,45199136.3782374,269085.310748527,1823.74956612621,332020.616814727,42819.9908595452,10324.0400123768,14677.0576289363,20941.0550712745,295417.427958742,218910.292593502,485247.210174098,77666.9415010667,7587804.4633227,146853.517002505,2898794.45539621,21472170.1706824
"disease","MS15006013",525070.368361122,338435.32496661,95145679.7010701,1944199.61348192,45194842.7403624,264977.440131132,2445.17790384022,350983.19326636,56473.8037426459,10079.6967111722,9606.84380419948,25700.5487699028,500919.855119401,185233.859752741,972161.177852793,88785.3600732296,8283160.41649216,187540.541116636,3312020.83394859,23893435.0405072
"disease","MS15006014",1018589.89065297,384355.385539879,101309912.287234,2231788.97462775,52705838.8365422,306198.118989587,3359.83159239548,620945.924863633,43588.1061533981,9928.51740350785,9183.42572154682,36353.7528602939,344519.304834115,351700.148495883,721054.857002888,85012.0310952505,9241364.31445993,142397.640147828,3123456.70813152,26109382.7086299
"disease","MS15006016",1148160.81932402,317484.666658784,85335195.646464,1606605.74217607,41182456.8355793,228595.224631191,753.685575421214,643674.795554487,67912.2003902954,21441.701821154,13795.2529284168,19043.4383432737,410710.168680719,444037.627890552,1508555.68242829,113572.027050624,8931452.22470052,188541.84478797,3047552.88897277,40647114.3457503
"disease","MS15006017",556959.619477104,385840.656104564,94593544.469779,1831147.77739882,50733451.4381655,334475.519084398,14641.8715993651,1042140.79842188,199335.272445775,21032.8662604456,31978.4147814778,3023.06546470321,685312.248634481,105438.758238497,1956500.62749797,152830.668249379,10575672.1249483,465807.938947844,3830775.04554516,42359131.8866264
"disease","MS15006018",1245424.2290496,444021.038808648,104810274.868735,1065338.97441699,58336604.952409,330650.895398962,106654.973424545,1756051.15018039,264605.906590151,91361.8639364918,155683.346206003,21293.1763732037,986277.103162847,383737.457991929,2859433.59584049,252009.950051107,13870287.6262188,339935.855238017,4603905.78431754,54131736.3761981
"disease","MS15006020",1080326.73637351,294338.973544246,88318171.4269179,1657376.71673236,47431750.9276619,258867.157529547,6427.79750599753,676272.598610998,80920.8607461954,27418.5220240029,15112.5100605678,12765.2951498647,339711.153343132,376568.22903729,1053381.74446814,145855.917637043,9782868.60684957,221281.839997049,3833334.94909059,41296531.7786599
"disease","MS15006021",951383.339667415,347884.965443364,98456626.6319474,1994667.30245988,53850608.3581769,275931.662630364,8684.31963540536,869030.879351753,145918.280877358,31092.1081831187,63291.2312933139,23938.5075535625,658071.10799182,542111.466801756,1219231.3481867,153979.002348772,8197642.12670842,243478.055157889,2915148.02428229,34368691.5630191
"disease","MS15006023",728096.712830784,325956.25742199,92581419.4387632,1313446.62249268,45731842.1399364,240609.840779892,33071.1846949063,1108561.76258641,199262.782554154,29618.3486561733,64174.1356243324,17390.4859541185,724100.925060605,470917.347241498,1487535.17165729,159009.484757807,10093144.7652903,277462.91098702,3201829.59641874,30542079.8197012
"disease","MS15006024",962961.259243827,318761.169932628,92867128.9431994,1405862.68063966,49091098.6569753,262860.954129679,27629.075159936,983733.386306436,111111.813270937,32744.5395747275,60030.1174967655,26331.9371341363,688726.949490599,570596.653292484,1003925.56534201,149313.667042219,10294504.1770159,161719.422360221,3885921.35743803,36111798.0492369
